epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.261,1.23951,2.49721,3.35397,1.15649,0.01182,0.69345,0.21138,0.1379,0.01212,0.7119,0.21883,0.13933,1.02343,1.83239,3.26644,0.95064,0.00010002,0.00010002,0.00010002
2,441.547,1.23027,2.15751,2.54281,1.05313,0.01425,0.84514,0.44628,0.29428,0.01404,0.83294,0.44303,0.27184,1.05456,2.02813,2.97974,0.95399,0.000214565,0.000214565,0.000214565
3,642.345,1.17358,2.06542,1.68081,1.02539,0.9275,0.20595,0.46737,0.29699,0.9275,0.20595,0.46405,0.29795,1.03261,1.84935,2.80724,0.95499,0.000326799,0.000326799,0.000326799
4,840.846,1.15396,1.91818,1.59269,1.03849,0.97847,0.09561,0.42969,0.28574,0.97847,0.09561,0.44082,0.28945,0.99283,1.7801,2.97599,0.99316,0.000436722,0.000436722,0.000436722
5,1037.64,1.07929,1.89296,1.43627,1.03386,0.88018,0.22322,0.44655,0.30286,0.89663,0.22738,0.45455,0.30392,1.02422,1.82246,2.93956,0.99392,0.000544336,0.000544336,0.000544336
6,1234.89,1.0987,1.84999,1.41869,1.06681,0.84778,0.22934,0.3817,0.2505,0.87629,0.23559,0.3939,0.24125,1.01811,1.86217,3.00946,1.01287,0.000649638,0.000649638,0.000649638
7,1426.01,1.06735,2.01639,1.35705,1.04146,1,0.03537,0.21473,0.13579,1,0.03537,0.2067,0.13194,1.19726,2.35255,3.2487,1.20098,0.00075263,0.00075263,0.00075263
8,1618.93,1.09292,1.8093,1.27306,1.03791,0.87749,0.07401,0.16838,0.11992,0.82674,0.07411,0.16281,0.10595,1.1745,2.37279,3.32569,1.20702,0.000853312,0.000853312,0.000853312
9,1808.18,1.01947,1.73843,1.33604,1.02065,0.9225,0.03923,0.11392,0.07154,0.89213,0.03872,0.10558,0.06023,1.29995,2.45481,3.4802,1.28829,0.000951684,0.000951684,0.000951684
10,2003.4,1.10601,1.80016,1.25959,1.07193,0.48237,0.07351,0.09006,0.04962,0.43118,0.07034,0.08107,0.03878,1.30367,2.45534,3.43931,1.35714,0.00104774,0.00104774,0.00104774
11,2195.23,1.06599,1.80387,1.26986,1.0618,0.32048,0.08837,0.09898,0.05463,0.30259,0.07897,0.08887,0.04289,1.3997,2.50662,3.48604,1.40253,0.00114149,0.00114149,0.00114149
12,2383.09,1.07004,1.9318,1.36192,1.04555,0.69893,0.08264,0.182,0.10609,0.63264,0.07639,0.16802,0.09356,1.37394,2.39627,3.2344,1.2907,0.00123293,0.00123293,0.00123293
13,2576.77,1.12655,2.04566,1.27647,1.03874,0.79236,0.16108,0.32469,0.20853,0.75641,0.15345,0.30747,0.18619,1.1328,2.11316,2.80745,1.10853,0.00132206,0.00132206,0.00132206
14,2771.12,1.07095,1.87572,1.2055,1.03317,0.79,0.46882,0.58683,0.40669,0.78252,0.46072,0.57895,0.35513,1.0126,2.16729,2.08028,1.014,0.00140888,0.00140888,0.00140888
15,2966.5,1.04517,1.8242,1.24533,1.04257,0.69919,0.45409,0.53491,0.37186,0.67935,0.43971,0.51534,0.31272,0.98601,2.19303,2.13244,1.01313,0.00143595,0.00143595,0.00143595
16,3162.84,1.04985,1.82796,1.18251,1.04512,0.74583,0.5188,0.60519,0.41673,0.74162,0.51119,0.59075,0.36652,1.07237,2.04392,1.91155,1.07009,0.00141945,0.00141945,0.00141945
17,3354.6,1.08359,1.67069,1.17963,1.03532,0.74876,0.51141,0.6387,0.44768,0.74876,0.51141,0.62628,0.40176,1.02863,1.91953,1.85267,1.03588,0.00140295,0.00140295,0.00140295
18,3547.07,1.05869,1.84349,1.11804,1.02104,0.66868,0.59058,0.65065,0.47242,0.67764,0.57583,0.65135,0.40853,0.97809,1.83653,1.53732,0.99098,0.00138644,0.00138644,0.00138644
19,3739.6,0.98822,1.70617,1.09625,1.0175,0.75438,0.70344,0.75651,0.54398,0.79357,0.66869,0.76403,0.50458,1.04954,1.62921,1.28635,1.03897,0.00136994,0.00136994,0.00136994
20,3934.31,0.98499,1.73847,1.03724,1.01476,0.77446,0.66855,0.75408,0.55148,0.76334,0.66762,0.75076,0.49238,1.01268,1.63572,1.37493,1.00497,0.00135344,0.00135344,0.00135344
21,4131.35,1.00321,1.63275,1,1.01891,0.76543,0.67817,0.74831,0.5366,0.77004,0.68224,0.75662,0.48907,0.97705,1.67573,1.35425,0.98899,0.00133693,0.00133693,0.00133693
22,4325.17,1.0167,1.65624,1.11262,1.01697,0.81929,0.7584,0.82807,0.6054,0.8281,0.75903,0.8326,0.55591,0.9201,1.54068,1.07793,0.97028,0.00132043,0.00132043,0.00132043
23,4520.5,1.04355,1.70807,1.0309,1.01212,0.90386,0.77212,0.86661,0.63282,0.90863,0.77309,0.86743,0.57316,0.92699,1.57946,1.03969,0.9773,0.00130393,0.00130393,0.00130393
