epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.242,1.20795,2.64927,13.848,1.10602,0.00033,0.34615,0.02946,0.02291,0.00041,0.42308,0.02966,0.02219,0.91685,1.93212,18.8545,0.83877,0.00010002,0.00010002,0.00010002
2,396.665,1.02913,2.11426,13.8108,1.00401,0.00022,0.23077,0.08293,0.05724,0.00033,0.34615,0.08441,0.06232,0.93034,1.6251,18.7844,0.86312,0.000214565,0.000214565,0.000214565
3,576.308,1.20444,2.05332,13.2919,1.0346,0.00032,0.38462,0.113,0.08044,0.00035,0.42308,0.11321,0.0785,0.94513,1.65668,18.7048,0.86543,0.000326799,0.000326799,0.000326799
4,751.522,1.20209,1.86549,12.3678,1.1167,0.00033,0.38462,0.08534,0.07003,0.00036,0.42308,0.08608,0.06839,0.88728,1.79505,18.7757,0.83365,0.000436722,0.000436722,0.000436722
5,925.01,2.1207,3.38967,35.0451,1.72509,0.00023,0.23077,0.0194,0.00987,0.00026,0.26923,0.01949,0.00975,0.91036,3.38672,19.0948,0.8652,0.000544336,0.000544336,0.000544336
6,1107.1,1.6099,2.26796,10.4863,1.48014,0.00029,0.30769,0.01375,0.00768,0.00029,0.30769,0.01437,0.00842,1.04173,3.07198,19.4221,1.00661,0.000649638,0.000649638,0.000649638
7,1286.07,1.91636,2.53263,20.1874,1.48992,0.00037,0.42308,0.00314,0.00129,0.0002,0.23077,0.00287,0.0004,1.06323,4.85618,19.3558,1.00422,0.00075263,0.00075263,0.00075263
8,1463.03,1.01989,1.79988,26.0489,0.88682,0.00024,0.26923,0.01983,0.00412,0.0003,0.34615,0.01987,0.0061,1.11148,2.41232,18.9151,1.05129,0.000853312,0.000853312,0.000853312
9,1638.04,1.08681,1.35756,25.0467,0.95682,0.00017,0.19231,0.01631,0.0067,0.00033,0.84615,0.00536,0.00248,1.24302,2.83352,18.2954,1.20338,0.000951684,0.000951684,0.000951684
10,1816.79,1.51134,1.71928,13.1751,1.30774,0.00023,0.26923,0.01954,0.01312,0.0003,0.34615,0.00827,0.00411,1.18368,4.17107,17.7437,1.15636,0.00104774,0.00104774,0.00104774
11,1992.83,1.54465,2.42338,12.3973,1.3583,0.00024,0.26923,0.04315,0.02098,0.0003,0.34615,0.04139,0.01842,1.35933,3.20671,18.5083,1.53287,0.00114149,0.00114149,0.00114149
12,2165.39,1.36942,1.94635,24.6988,1.05593,0.00025,0.30769,0.00277,0.00158,0.00028,0.34615,0.00394,0.00173,1.3694,3.51495,17.6901,1.60293,0.00123293,0.00123293,0.00123293
13,2343.02,1.78628,2.7593,11.3169,1.66169,0.00034,0.38462,0.00919,0.00643,0.00034,0.38462,0.01089,0.00643,1.36236,3.09625,15.7191,1.66467,0.00132206,0.00132206,0.00132206
14,2514.75,1.62677,2.83636,19.9851,1.41934,0.00025,0.34615,0.01241,0.00689,0.00025,0.34615,0.01282,0.00862,1.36968,3.50879,15.5824,1.66266,0.00140888,0.00140888,0.00140888
15,2696.78,1.84873,2.43788,11.0502,1.65574,0.00022,0.34615,0.00045,0.00014,0.00022,0.34615,0.00048,0.00017,1.5264,3.4896,38.2026,1.85036,0.00143595,0.00143595,0.00143595
16,2886.79,1.70291,3.09302,18.9692,1.44534,0.00029,0.34615,0.00424,0.00224,0.00032,0.38462,0.00424,0.0025,1.21487,2.92029,25.3999,1.32837,0.00141945,0.00141945,0.00141945
17,3060.22,2.2429,3.25618,11.154,1.77644,0.00037,0.46154,0.00276,0.00119,0.00037,0.46154,0.00279,0.00101,1.22949,2.45962,14.8256,1.33288,0.00140295,0.00140295,0.00140295
18,3233.18,1.49783,2.26098,12.6124,1.3063,0.00034,0.38462,0.00282,0.00121,0.00034,0.38462,0.00273,0.00103,1.36211,2.61826,28.2587,1.43273,0.00138644,0.00138644,0.00138644
