epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.409,1.11069,2.78251,1.28659,0.56265,0.29017,0.29625,0.22182,1.17447,2.79441,1.27277,0.0003636,0.0003636,0.0003636
2,272.17,1.20133,2.13598,1.35599,0.38348,0.42705,0.34595,0.21654,1.30529,2.80961,1.44334,0.000719401,0.000719401,0.000719401
3,437.71,1.22927,2.01086,1.36637,0.35075,0.40914,0.30529,0.1748,1.31427,3.60562,1.50444,0.00106054,0.00106054,0.00106054
4,586.223,1.21814,1.99526,1.34872,0.32393,0.27928,0.24854,0.16563,1.45583,2.59374,1.56543,0.00104501,0.00104501,0.00104501
5,710.287,1.21375,1.882,1.32636,0.50923,0.30866,0.32212,0.21219,1.3483,2.6957,1.51457,0.00102301,0.00102301,0.00102301
6,842.855,1.21331,1.80576,1.3206,0.44816,0.4164,0.40095,0.24396,1.35732,2.44208,1.42751,0.00100101,0.00100101,0.00100101
7,977.321,1.18033,1.73642,1.32512,0.5453,0.40565,0.43804,0.28948,1.39116,2.23905,1.50528,0.000979013,0.000979013,0.000979013
8,1109.09,1.16222,1.65652,1.28497,0.51536,0.46954,0.45245,0.2959,1.45372,2.06977,1.48123,0.000957015,0.000957015,0.000957015
9,1243.13,1.1272,1.58775,1.26489,0.65045,0.35139,0.36625,0.23898,1.40982,2.74561,1.5609,0.000935018,0.000935018,0.000935018
10,1377.75,1.09774,1.56262,1.25526,0.54843,0.42097,0.46236,0.33609,1.20765,1.86904,1.32161,0.00091302,0.00091302,0.00091302
11,1511.99,1.06611,1.49654,1.23409,0.67,0.45704,0.53508,0.37886,1.19188,1.87008,1.3099,0.000891022,0.000891022,0.000891022
12,1645.5,1.09357,1.47116,1.24654,0.58992,0.48216,0.48572,0.34692,1.24706,1.98172,1.362,0.000869024,0.000869024,0.000869024
13,1778.96,1.07199,1.42607,1.23124,0.63775,0.40176,0.45774,0.32756,1.26347,2.05654,1.36885,0.000847026,0.000847026,0.000847026
14,1910.94,1.02562,1.35622,1.22184,0.57343,0.44821,0.48929,0.35917,1.18756,1.78178,1.33218,0.000825029,0.000825029,0.000825029
15,2026.12,1.02698,1.30009,1.21744,0.56828,0.48695,0.54506,0.38974,1.20307,1.73927,1.34981,0.000803031,0.000803031,0.000803031
16,2137.4,1.03067,1.26867,1.21241,0.65934,0.45277,0.54501,0.40167,1.18879,1.81173,1.32077,0.000781033,0.000781033,0.000781033
17,2255.45,0.99921,1.22509,1.1977,0.52342,0.39228,0.42836,0.3123,1.17045,1.9816,1.30856,0.000759035,0.000759035,0.000759035
18,2365.95,1.00689,1.22089,1.20548,0.47297,0.55329,0.49821,0.36017,1.21107,1.74993,1.34779,0.000737037,0.000737037,0.000737037
19,2551.62,0.98285,1.20081,1.19212,0.50146,0.5282,0.4886,0.35561,1.22142,1.7782,1.32827,0.00071504,0.00071504,0.00071504
20,2748.41,0.97823,1.18097,1.17931,0.68285,0.43506,0.54067,0.40814,1.1225,1.59126,1.26994,0.000693042,0.000693042,0.000693042
